title,address,contentId,contentTypeId,tag,reason,cat1,cat2,cat3,cat1_name,cat2_name,cat3_name,mapx,mapy,overview
가는곶 세화,제주특별자치도 제주시 구좌읍 세화14길 3,2850913,39,indoor,indoor:베이커리/음식점/카페 | outdoor:해변/해수욕장,A05,A0502,A05020900,음식점,한식,카페/전통찻집,126.8606961680,33.5205279098,"가는곶 세화는 제주특별자치도 제주시 구좌읍 세화리에 자리한 감성적인 베이커리로, ‘옆집으로 이사 가고 싶은 세화빵집’을 모토로 운영되고 있다. 이곳은 제주에서 자란 건강한 농작물을 활용한 빵을 만드는 것으로 유명한데, 제주토종흑보리, 대추방울토마토, 푸른콩 등 제주 농부들이 정성껏 키운 재료들을 사용한다. 반죽은 최대한 최소화하여 소화에 부담이 적은 빵을 만드는 것을 지향하고 있다. 시그니처 메뉴로는 에멘탈 치즈와 살짝 말린 토마토가 들어간 ‘에멘탈썬드라이토마토’, 그리고 구운 감자의 풍미가 살아 있는 ‘구운제주감자빵’ 등이 있다. 근처에 세화해수욕장, 평대해변, 비자림 등 자연명소가 가까이 있어 함께 둘러보는 것도 추천한다."
가람,제주특별자치도 제주시 복지로북길 4 1층,2906155,39,indoor,indoor:박물관/음식점 | outdoor:오름,A05,A0502,A05020100,음식점,한식,한식,126.5206569716,33.4888787305,"가람은 KBS 제주방송총국 앞에 있다. 돌솥밥추어탕이 대표메뉴로 추어탕과 돌솥밥이 세트로 나온다. 양배추샐러드, 피클, 단호박 등 건강식 밑반찬이 함께 나오며 돌솥밥은 비빔밥으로 먹고 누룽지를 만들어 먹을 수 있다. 추어탕은 들깨가루를 넣고 깔끔하게 끓여낸 구수한 보양식으로 방송국 사람들의 단골집이기도 하다. 여름 메뉴로는 녹차 독새기 콩국수가 있다. 주변 여행지로 민오름, 제주도민속자연사박물관 등이 있다."
가람돌솥밥,제주특별자치도 서귀포시 중문관광로 332 (대포동),2755053,39,indoor,indoor:음식점,A05,A0502,A05020100,음식점,한식,한식,126.4313090015,33.2496926417,중문관광로에 있는 가람돌솥밥은 어릴 적 해녀이신 어머니가 물질하여 따온 신선한 재료를 얹어 주시던 기억이 생생해 그 정성과 마음을 담아 어머니의 마음을 나누려고 2003년에 문을 열었다. 깔끔한 밑반찬과 성게미역국 인기가 좋으며 모든 상차림에 전복 또는 활어회가 제공된다. 해물돌솥밥을 마가린과 간장에 비벼 먹을 수 있도록 준비해 둔 코너가 인상적이며 친절한 사장님과 직원들이 항상 웃으며 응대한다. 서귀포에서 든든하게 아침밥을 챙겨 먹기 좋은 곳이다.
가마오름,제주특별자치도 제주시 한경면 청수리 1205,1884191,12,outdoor,outdoor:공원/산/오름,A01,A0101,A01010400,자연관광지,국립공원,산,126.2466098987,33.3057279944,"제주시 한경면 수룽이마을 뒷산으로 마을 남동쪽 약 500m 지점에 있는 오름이다. 수룡동 마을안길로 들어가면 쉽게 오를 수 있다. 오름산모양이 가마솥을 엎어 놓은 모양과 같이 생겼다 하여 가마오름이라 부르고 있으나, 학자들의 어원적 해석에 의하면 가마는 감에서 나온 것이고, 감은 북방어로 신 또는 신성하고 거룩하다는 뜻으로 해석하고 있다. 즉, 가마오름은 신령스러운 산이라는 뜻으로 풀이하고 있다. 주봉인 남쪽 봉우리를 중심으로 북쪽으로 뻗은 등성마루에는 언덕 같은 봉우리가 솟아 있고, 완만한 동사면은 북동쪽으로 말굽형 화구를 이루며 얕고 넓게 벌어져 있으며 붉은 송이로 이루어져 있다. 해송과 잡목이 어우러져 숲을 이루고 있으며, 풀밭에는 술패렝이꽃이 여기저기 보인다. 이 오름에는 일제 강점기 때 일본군이 주둔했던 곳으로, 지금도 인공적으로 파인 수직굴이 여러 개 산재해 있다."
가문이오름(감은이오름),제주특별자치도 서귀포시 표선면 가시리,1884505,12,outdoor,outdoor:공원/산/오름,A01,A0101,A01010400,자연관광지,국립공원,산,126.6876111209,33.4018299117,"가문이오름은 제주특별자치도 제주시 구좌읍 송당리에 있는 봉우리이며, 성불오름 바로 서쪽에 나지막하게 자리한 오름을 이른다. 붉은오름과 마주하고 있는 이곳은 오름의 중턱에 삼나무와 해송이 숲이 우거져 있으며 그 위로는 낙엽수림이 있다. 가문이오름이란 이름은 숲이 우거져 검게 보인다고 하여 지어진 것이다. 말굽형 분화구 모양인 오름에는 흰 노루귀, 분홍 노루귀 등의 생소한 야생화가 자라고 있으며, 분화구 내에 울창한 숲이 음산한 기운을 띠고 있어 신령스러운 산이라는 의미도 있다. 붉은오름뿐만 아니라 구두리오름, 쳇망오름 등 여러 오름과 함께 오름 군락도 형성되어 같이 둘러보기에 좋다. 근처 가 볼 만한 곳으로는 물영아리오름, 부영컨드리클럽이 있다."
가새기오름,제주특별자치도 제주시 오라삼동 2848,1884521,12,outdoor,outdoor:공원/산/오름,A01,A0101,A01010400,자연관광지,국립공원,산,126.5038611983,33.4893700755,"가새기오름은 오라동 연미마을 북서쪽에 가로누운 자그마한 화구 없는 원추형 화산체로서, 남북으로 긴 등성이에 해송이 우거져 숲을 이루고 있다. 풍수설에 의하면 이 오름 남쪽에 있는 민오름이 개의 형국이고, 그 밑에 있는 이 오름은 어미개에 딸린 강아지의 형국이라는 것에서 [개새끼오름]이라 불리고 있다. 어미개와 강아지가 어울린 모습에 개의 젖가슴을 상징하는 지세라 하여 북서쪽 오름 자락은 예로부터 길지로 꼽혀왔다고 한다."
가세오름,제주특별자치도 서귀포시 표선면 녹산로 554,1885746,12,outdoor,outdoor:공원/산/오름,A01,A0101,A01010400,자연관광지,국립공원,산,126.7231832338,33.3931758821,"가세는 제주도 방언으로 가위라는 뜻을 의미한다. 표선면에 위치한 가세오름은 산봉우리가 두 갈래로 나누어진 말굽형의 오름이다. 또한 오름의 형태가 가위처럼 보인다 하여 가세오름으로 불린다. 가세 오름에는 5개의 암설류인 봉우리인 염통 오름, 족은 염통, 달 모루, 진동산, 숨골왓이 있다. 하지만 이 봉우리들은 덤불로 가로막고 있으며 탐방로도 있지 않아 발견하기는 어렵다. 가세 오름 초행길은 안내 표지판이 있으나 탐방로가 복잡하여 헤맬 수 있으니 주의를 요한다. 또한 가시덤불로 인해 상처를 입을 위험이 있어 긴 바지를 입고 가는 것이 좋다. 북쪽 봉우리에는 이동통신사 기지국이 있고 남쪽 봉우리 정상에는 초소가 있어 이동 위치를 쉽게 파악할 수 있다. 오름의 정상에 도착하여 경방 초소에 오르면 가시리의 오름 군락들을 조망할 수 있다."
가시리국산화풍력발전단지,제주특별자치도 서귀포시 표선면 녹산로 464-78,3026711,12,outdoor,indoor:카페 | outdoor:산,A02,A0204,A02040400,역사관광지,발전소,발전소,126.7341100468,33.3939370848,"제주도 서귀포시 동남쪽 끝에 위치한 표선면 가시리는 제주도 내에서 아직 개발되지 않은 지역이라고 할 수 있는데 2009년 1월 국내 최초 지역주민 참여 방식으로 진행된 풍력발전단지  부지 선정 공모에서 최종 부지로 낙점됨에 따라 마을이 새롭게 변화되어 가고 있다. 가시리국산화풍력발전단지는 광활한 평원에 유채꽃단지가 조성되어 있는 가시리 공동목장에 들어서 있다. 봄이 되면 유채꽃과 벚꽃의 콜라보레이션을 즐길 수 있는 드라이브 코스로 유명한 녹산로 유채꽃길과 가까운 곳에 있다. 이곳 바람들판의 가을녁엔 빛나는 억새의 향연과 커다란 풍력발전기가 돌아가는 풍경을 볼 수 있는데 이국적인 아름다움을 선사한다. 이곳에서는 뒤로 보이는 풍력발전단지를 배경 삼아 한라산, 돌담과 어우러진 제주 조랑말들과 소들이 평온하게 풀을 뜯어 먹는 장면을 즐길 수 있다. 픙력단지 입구 왼쪽으로는 유채꽃프라자로 가는 길이고 이곳에서 차 한잔하며 카페 계단으로 올라가서 보는 목가적인 경치도 좋다. 카페 뒤쪽에도 유채꽃 단지가 있다."
가시식당,제주특별자치도 서귀포시 표선면 가시로565번길 24,1866904,39,indoor,indoor:식당/실내/음식점,A05,A0502,A05020100,음식점,한식,한식,126.7713633064,33.3530172003,가시식당은 가시보건진료소 인근에 자리 잡은 40년 이상의 전통을 자랑하는 순댓국 전문점이다. 실내는 편안한 가정집 분위기의 입식 홀 구조이다. 돼지 잡뼈를 넣고 우린 육수에 순대와 내장을 말아 뚝배기에 담아내는 순댓국과 철판 위에 은박지를 깔고 볶아먹는 돼지고기 두루치기가 인기메뉴이다.
가시아방국수,제주특별자치도 서귀포시 성산읍 섭지코지로 10,2791481,39,indoor,indoor:음식점 | outdoor:산,A05,A0502,A05020100,음식점,한식,한식,126.9180930788,33.4386573313,"성산읍에 자리하고 있는 가시아방 국수는 제주 특산 메뉴인 고기 국수를 주력으로 하는 맛집이다. 대표 메뉴인 고기 국수는 진한 육수에 부드럽고 노란 면, 고소한 돔베고기 고명이 조화롭다. 이외에도 비빔국수와 멸치국수 역시 이곳만의 감칠맛으로 인기 메뉴이다. 여러 메뉴를 한 번에 먹고 싶다면 세트 메뉴도 준비되어 있는데, 국수와 돔베고기 1/2을 함께 맛볼 수 있어 가성비 좋게 즐길 수 있다."
